DateTime,volume,BidAsk,open,high,low,close,Up,Down
2023-03-31 01:04:00,225,-21,13122.0,13122.0,13119.75,13120.5,1,0
2023-03-31 01:06:00,377,-117,13120.5,13121.0,13115.75,13116.75,1,0
2023-03-31 01:08:00,202,-9,13117.0,13118.25,13115.0,13116.5,1,0
2023-03-31 01:10:00,226,-22,13116.5,13116.5,13112.5,13114.75,1,0
2023-03-31 01:12:00,127,-4,13115.25,13118.75,13114.75,13118.0,1,0
2023-03-31 01:14:00,109,5,13117.75,13118.5,13116.0,13118.0,1,0
2023-03-31 01:16:00,91,0,13117.75,13119.5,13117.0,13119.0,1,0
2023-03-31 01:18:00,122,-25,13118.5,13118.75,13116.0,13117.0,1,0
2023-03-31 01:20:00,88,-4,13117.0,13117.25,13115.0,13116.5,1,0
2023-03-31 01:22:00,124,-7,13116.25,13116.5,13114.25,13115.75,1,0
2023-03-31 01:24:00,178,-38,13115.25,13115.25,13111.75,13112.25,1,0
2023-03-31 01:26:00,189,-35,13112.5,13114.5,13110.5,13111.0,1,0
2023-03-31 01:28:00,343,-76,13110.75,13111.25,13108.0,13108.25,1,0
2023-03-31 01:30:00,169,14,13108.5,13113.75,13108.0,13113.25,1,0
2023-03-31 01:32:00,84,-10,13112.5,13113.5,13111.0,13113.25,1,0
2023-03-31 01:34:00,120,9,13113.5,13114.75,13111.75,13111.75,1,0
2023-03-31 01:36:00,80,22,13111.75,13113.25,13110.75,13113.0,1,0
2023-03-31 01:38:00,88,10,13112.75,13112.75,13110.25,13110.75,1,0
2023-03-31 01:40:00,114,28,13110.75,13114.75,13110.75,13114.25,1,0
2023-03-31 01:42:00,138,0,13114.25,13115.75,13112.25,13112.75,1,0
2023-03-31 01:44:00,53,6,13113.0,13113.75,13112.5,13113.25,1,0
2023-03-31 01:46:00,129,-3,13113.25,13114.25,13111.75,13113.5,1,0
2023-03-31 01:48:00,126,-42,13113.25,13113.5,13108.75,13109.0,1,0
2023-03-31 01:50:00,115,19,13108.75,13113.0,13108.75,13112.25,1,0
2023-03-31 01:52:00,408,-166,13111.75,13111.75,13105.0,13106.5,1,0
2023-03-31 01:54:00,148,32,13106.5,13110.0,13106.5,13109.5,1,0
2023-03-31 01:56:00,131,-43,13109.25,13110.0,13108.0,13109.0,1,0
2023-03-31 01:58:00,179,27,13108.75,13112.0,13107.75,13111.0,1,0
2023-03-31 02:00:00,316,-57,13110.75,13113.0,13108.5,13111.5,1,0
2023-03-31 02:02:00,393,34,13111.25,13117.75,13110.75,13114.75,1,0
2023-03-31 02:04:00,690,-384,13115.0,13115.0,13103.25,13106.5,1,0
2023-03-31 02:06:00,366,-88,13106.75,13108.0,13100.0,13100.75,1,0
2023-03-31 02:08:00,332,-107,13101.25,13102.5,13097.5,13101.5,1,0
2023-03-31 02:10:00,143,31,13101.25,13104.25,13100.5,13103.25,1,0
2023-03-31 02:12:00,271,40,13103.0,13109.0,13103.0,13107.5,1,0
2023-03-31 02:14:00,474,-233,13107.25,13108.0,13096.75,13099.5,1,0
2023-03-31 02:16:00,169,5,13099.75,13103.0,13099.0,13099.75,1,0
2023-03-31 02:18:00,140,0,13099.25,13101.5,13098.5,13099.0,1,0
2023-03-31 02:20:00,240,-86,13099.25,13100.25,13095.0,13096.25,1,0
2023-03-31 02:22:00,102,-13,13096.5,13097.75,13095.25,13096.5,1,0
2023-03-31 02:24:00,97,-1,13097.0,13098.5,13095.5,13098.0,1,0
2023-03-31 02:26:00,160,-31,13098.5,13098.5,13094.0,13094.25,1,0
2023-03-31 02:28:00,304,-53,13094.25,13095.25,13090.0,13090.5,1,0
2023-03-31 02:30:00,220,11,13090.5,13093.25,13089.25,13090.75,1,0
2023-03-31 02:32:00,253,13,13090.75,13094.0,13089.75,13093.75,1,0
2023-03-31 02:34:00,257,59,13093.0,13098.75,13093.0,13097.25,1,0
2023-03-31 02:36:00,137,-32,13097.25,13097.25,13094.0,13094.5,1,0
2023-03-31 02:38:00,116,40,13095.0,13099.0,13095.0,13098.25,1,0
2023-03-31 02:40:00,199,-79,13098.5,13099.0,13094.0,13095.5,1,0
2023-03-31 02:42:00,106,-1,13095.5,13096.25,13093.5,13094.5,1,0
2023-03-31 02:44:00,133,2,13094.0,13096.0,13093.0,13093.75,1,0
2023-03-31 02:46:00,203,-5,13093.75,13097.75,13092.75,13092.75,1,0
2023-03-31 02:48:00,145,1,13093.25,13095.5,13092.5,13093.5,1,0
2023-03-31 02:50:00,104,-9,13094.0,13095.0,13092.25,13092.75,1,0
2023-03-31 02:52:00,130,-2,13092.5,13093.25,13091.25,13091.25,1,0
2023-03-31 02:54:00,188,-36,13091.0,13092.25,13089.75,13092.0,1,0
2023-03-31 02:56:00,122,-14,13091.5,13094.75,13090.75,13093.25,1,0
2023-03-31 02:58:00,147,6,13093.0,13095.5,13092.75,13094.25,1,0
2023-03-31 03:00:00,611,23,13094.25,13100.25,13090.0,13098.0,1,0
2023-03-31 03:02:00,448,-90,13098.0,13100.75,13091.5,13093.25,1,0
2023-03-31 03:04:00,270,-63,13093.75,13094.75,13091.75,13093.25,1,0
2023-03-31 03:06:00,652,-132,13092.75,13093.5,13085.75,13089.5,1,0
2023-03-31 03:08:00,279,-9,13089.75,13091.5,13086.25,13088.75,1,0
2023-03-31 03:10:00,319,11,13089.25,13092.25,13085.5,13090.75,1,0
2023-03-31 03:12:00,280,34,13090.25,13094.5,13089.25,13091.5,1,0
2023-03-31 03:14:00,219,-64,13091.5,13092.25,13086.25,13086.75,1,0
2023-03-31 03:16:00,408,-91,13087.25,13087.25,13083.0,13083.25,1,0
2023-03-31 03:18:00,253,-15,13083.5,13085.0,13081.5,13083.25,1,0
2023-03-31 03:20:00,236,26,13084.0,13085.5,13081.0,13081.75,1,0
2023-03-31 03:22:00,295,24,13081.75,13085.5,13080.25,13085.0,1,0
2023-03-31 03:24:00,243,29,13085.0,13088.0,13083.25,13086.75,1,0
2023-03-31 03:26:00,308,70,13086.5,13091.25,13083.5,13089.25,1,0
2023-03-31 03:28:00,127,-2,13089.0,13090.5,13087.75,13089.75,1,0
2023-03-31 03:30:00,333,1,13089.75,13090.75,13085.5,13089.5,1,0
2023-03-31 03:32:00,436,125,13090.0,13095.75,13087.75,13095.0,1,0
2023-03-31 03:34:00,573,71,13094.75,13098.5,13092.25,13097.75,1,0
2023-03-31 03:36:00,371,14,13098.0,13099.0,13094.75,13095.25,1,0
2023-03-31 03:38:00,207,-60,13095.75,13095.75,13091.5,13091.5,1,0
2023-03-31 03:40:00,237,-47,13091.25,13092.75,13088.75,13089.0,1,0
2023-03-31 03:42:00,297,54,13089.5,13095.0,13089.0,13092.75,1,0
2023-03-31 03:44:00,193,-7,13092.0,13093.75,13089.75,13090.0,1,0
2023-03-31 03:46:00,227,-25,13090.5,13092.5,13085.5,13087.25,1,0
2023-03-31 03:48:00,177,22,13088.0,13090.0,13087.25,13087.75,1,0
2023-03-31 03:50:00,171,-11,13088.0,13088.25,13084.75,13085.75,1,0
2023-03-31 03:52:00,241,-38,13086.0,13086.5,13083.0,13083.25,1,0
2023-03-31 03:54:00,225,13,13083.25,13085.75,13082.25,13084.5,1,0
2023-03-31 03:56:00,321,18,13084.25,13089.0,13082.75,13087.5,1,0
2023-03-31 03:58:00,378,68,13088.0,13096.0,13087.75,13094.75,1,0
2023-03-31 04:00:00,406,-44,13094.75,13096.5,13087.5,13091.25,1,0
2023-03-31 04:02:00,203,17,13090.75,13095.0,13088.75,13092.75,1,0
2023-03-31 04:04:00,313,18,13093.0,13094.0,13088.0,13092.75,1,0
2023-03-31 04:06:00,183,10,13092.5,13093.75,13090.0,13093.25,1,0
2023-03-31 04:08:00,172,-11,13093.75,13094.5,13090.25,13090.75,1,0
2023-03-31 04:10:00,199,31,13091.0,13092.25,13089.25,13090.5,1,0
2023-03-31 04:12:00,144,-32,13090.5,13092.5,13088.5,13089.0,1,0
2023-03-31 04:14:00,162,-23,13088.75,13089.25,13085.75,13087.0,1,0
2023-03-31 04:16:00,280,-15,13086.5,13087.0,13082.75,13084.25,1,0
2023-03-31 04:18:00,566,-222,13084.25,13084.25,13076.25,13076.5,1,0
2023-03-31 04:20:00,310,48,13077.0,13082.75,13076.25,13080.5,1,0
2023-03-31 04:22:00,414,-82,13080.25,13080.75,13075.25,13076.75,1,0
2023-03-31 04:24:00,646,-6,13076.5,13085.5,13076.5,13085.0,1,0
2023-03-31 04:26:00,303,-91,13084.75,13085.0,13080.25,13081.5,1,0
2023-03-31 04:28:00,133,-11,13081.5,13083.5,13080.75,13082.25,1,0
2023-03-31 04:30:00,251,57,13082.0,13084.25,13080.25,13082.75,1,0
2023-03-31 04:32:00,243,17,13082.75,13086.5,13082.25,13085.75,1,0
2023-03-31 04:34:00,244,-41,13085.5,13087.25,13079.0,13080.0,1,0
2023-03-31 04:36:00,135,19,13079.75,13081.75,13079.0,13081.5,1,0
2023-03-31 04:38:00,138,4,13082.0,13084.5,13081.5,13082.5,1,0
2023-03-31 04:40:00,153,34,13082.5,13085.5,13082.5,13083.75,1,0
2023-03-31 04:42:00,186,-22,13083.75,13086.0,13082.75,13082.75,1,0
2023-03-31 04:44:00,188,0,13083.0,13083.0,13079.25,13080.75,1,0
2023-03-31 04:46:00,226,6,13081.0,13084.25,13080.0,13083.25,1,0
2023-03-31 04:48:00,158,-27,13082.75,13085.75,13082.5,13084.75,1,0
2023-03-31 04:50:00,144,-26,13084.25,13085.25,13082.0,13083.5,1,0
2023-03-31 04:52:00,124,-10,13083.25,13084.25,13081.0,13081.5,1,0
2023-03-31 04:54:00,73,-4,13081.5,13083.25,13081.25,13081.75,1,0
2023-03-31 04:56:00,132,-34,13081.0,13081.5,13078.25,13078.75,1,0
2023-03-31 04:58:00,91,15,13079.0,13080.5,13078.25,13079.75,1,0
2023-03-31 05:00:00,304,35,13080.25,13083.5,13079.75,13081.25,1,0
2023-03-31 05:02:00,218,21,13081.0,13084.0,13077.5,13083.25,1,0
2023-03-31 05:04:00,382,107,13083.25,13087.5,13082.75,13085.5,1,0
2023-03-31 05:06:00,472,97,13086.0,13092.75,13086.0,13091.0,1,0
2023-03-31 05:08:00,387,-57,13091.0,13093.5,13089.5,13092.25,1,0
2023-03-31 05:10:00,249,-18,13092.0,13093.25,13090.25,13091.0,1,0
2023-03-31 05:12:00,419,16,13090.75,13096.0,13090.75,13095.0,1,0
2023-03-31 05:14:00,260,-36,13094.75,13096.0,13091.25,13091.5,1,0
2023-03-31 05:16:00,86,-7,13091.75,13093.75,13091.25,13093.0,1,0
2023-03-31 05:18:00,150,6,13093.0,13094.0,13091.75,13093.0,1,0
2023-03-31 05:20:00,127,-6,13093.0,13094.5,13092.5,13093.75,1,0
2023-03-31 05:22:00,208,-93,13093.75,13093.75,13090.0,13091.25,1,0
2023-03-31 05:24:00,178,-29,13091.0,13092.75,13089.5,13090.5,1,0
2023-03-31 05:26:00,170,-7,13090.5,13092.0,13089.5,13089.75,1,0
2023-03-31 05:28:00,226,2,13089.75,13093.5,13088.5,13093.0,1,0
2023-03-31 05:30:00,304,-42,13093.75,13095.0,13089.0,13091.0,1,0
2023-03-31 05:32:00,151,-11,13091.0,13092.0,13089.75,13091.25,1,0
2023-03-31 05:34:00,178,-15,13090.75,13093.0,13088.0,13088.25,1,0
